locus_tag	ftype	gene	EC_number	product
SRR4176676_00001	CDS	ddrA_1		Diol dehydratase-reactivating factor alpha subunit
SRR4176676_00001	gene	ddrA_1		
SRR4176676_00002	CDS	ddrA_2		Diol dehydratase-reactivating factor alpha subunit
SRR4176676_00002	gene	ddrA_2		
SRR4176676_00003	CDS			hypothetical protein
SRR4176676_00003	gene			
SRR4176676_00004	CDS	ynfM_1		Inner membrane transport protein YnfM
SRR4176676_00004	gene	ynfM_1		
SRR4176676_00005	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase large subunit
SRR4176676_00005	gene	leuC		
SRR4176676_00006	CDS	leuD	4.2.1.33	3-isopropylmalate dehydratase small subunit
SRR4176676_00006	gene	leuD		
SRR4176676_00007	CDS		4.3.2.3	Ureidoglycolate lyase
SRR4176676_00007	gene			
SRR4176676_00008	CDS	dehH1_1	3.8.1.3	Haloacetate dehalogenase H-1
SRR4176676_00008	gene	dehH1_1		
SRR4176676_00009	CDS	dehH1_2	3.8.1.3	Haloacetate dehalogenase H-1
SRR4176676_00009	gene	dehH1_2		
SRR4176676_00010	CDS	dmlR_1		HTH-type transcriptional regulator DmlR
SRR4176676_00010	gene	dmlR_1		
SRR4176676_00011	CDS			hypothetical protein
SRR4176676_00011	gene			
SRR4176676_00012	CDS			hypothetical protein
SRR4176676_00012	gene			
SRR4176676_00013	CDS	yadV_1		putative fimbrial chaperone YadV
SRR4176676_00013	gene	yadV_1		
SRR4176676_00014	CDS			hypothetical protein
SRR4176676_00014	gene			
SRR4176676_00015	CDS	fimD_1		Outer membrane usher protein FimD
SRR4176676_00015	gene	fimD_1		
SRR4176676_00016	CDS	yadV_2		putative fimbrial chaperone YadV
SRR4176676_00016	gene	yadV_2		
SRR4176676_00017	CDS	sfaA		S-fimbrial protein subunit SfaA
SRR4176676_00017	gene	sfaA		
SRR4176676_00018	CDS			hypothetical protein
SRR4176676_00018	gene			
SRR4176676_00019	CDS			hypothetical protein
SRR4176676_00019	gene			
SRR4176676_00020	CDS	adrB_1	3.1.4.52	Putative cyclic-di-GMP phosphodiesterase AdrB
SRR4176676_00020	gene	adrB_1		
SRR4176676_00021	CDS			hypothetical protein
SRR4176676_00021	gene			
SRR4176676_00022	CDS			hypothetical protein
SRR4176676_00022	gene			
SRR4176676_00023	CDS	ail_1		Attachment invasion locus protein
SRR4176676_00023	gene	ail_1		
SRR4176676_00024	CDS			hypothetical protein
SRR4176676_00024	gene			
SRR4176676_00025	CDS			hypothetical protein
SRR4176676_00025	gene			
SRR4176676_00026	CDS	oprM		Outer membrane protein OprM
SRR4176676_00026	gene	oprM		
SRR4176676_00027	CDS	bepE		Efflux pump membrane transporter BepE
SRR4176676_00027	gene	bepE		
SRR4176676_00028	CDS	bepF		Efflux pump periplasmic linker BepF
SRR4176676_00028	gene	bepF		
SRR4176676_00029	CDS	actP_1	3.6.3.4	Copper-transporting P-type ATPase
SRR4176676_00029	gene	actP_1		
SRR4176676_00030	CDS	hmrR		HTH-type transcriptional regulator HmrR
SRR4176676_00030	gene	hmrR		
SRR4176676_00031	CDS			hypothetical protein
SRR4176676_00031	gene			
SRR4176676_00032	CDS	yjhB_1		Putative metabolite transport protein YjhB
SRR4176676_00032	gene	yjhB_1		
SRR4176676_00033	CDS			hypothetical protein
SRR4176676_00033	gene			
SRR4176676_00034	CDS			hypothetical protein
SRR4176676_00034	gene			
SRR4176676_00035	CDS			hypothetical protein
SRR4176676_00035	gene			
SRR4176676_00036	CDS	appC_1	1.10.3.10	Cytochrome bd-II ubiquinol oxidase subunit 1
SRR4176676_00036	gene	appC_1		
SRR4176676_00037	CDS	appB_1	1.10.3.10	Cytochrome bd-II ubiquinol oxidase subunit 2
SRR4176676_00037	gene	appB_1		
SRR4176676_00038	CDS			hypothetical protein
SRR4176676_00038	gene			
SRR4176676_00039	CDS	pchR		Regulatory protein PchR
SRR4176676_00039	gene	pchR		
SRR4176676_00040	CDS	fhuA_1		Ferrichrome-iron receptor
SRR4176676_00040	gene	fhuA_1		
SRR4176676_00041	CDS	rhtC_1		Threonine efflux protein
SRR4176676_00041	gene	rhtC_1		
SRR4176676_00042	CDS			hypothetical protein
SRR4176676_00042	gene			
SRR4176676_00043	CDS	prpR		Propionate catabolism operon regulatory protein
SRR4176676_00043	gene	prpR		
SRR4176676_00044	CDS	prpB	4.1.3.30	2-methylisocitrate lyase
SRR4176676_00044	gene	prpB		
SRR4176676_00045	CDS	prpC	2.3.3.5	2-methylcitrate synthase
SRR4176676_00045	gene	prpC		
SRR4176676_00046	CDS	prpD	4.2.1.79	2-methylcitrate dehydratase
SRR4176676_00046	gene	prpD		
SRR4176676_00047	CDS	acs_1	6.2.1.1	Acetyl-coenzyme A synthetase
SRR4176676_00047	gene	acs_1		
SRR4176676_00048	CDS	hemB	4.2.1.24	Delta-aminolevulinic acid dehydratase
SRR4176676_00048	gene	hemB		
SRR4176676_00049	CDS	prn		Pertactin autotransporter
SRR4176676_00049	gene	prn		
SRR4176676_00050	CDS			hypothetical protein
SRR4176676_00050	gene			
SRR4176676_00051	CDS	ampH	3.4.-.-	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
SRR4176676_00051	gene	ampH		
SRR4176676_00052	CDS	sbmA		Peptide antibiotic transporter SbmA
SRR4176676_00052	gene	sbmA		
SRR4176676_00053	CDS			hypothetical protein
SRR4176676_00053	gene			
SRR4176676_00054	CDS	yaiY		Inner membrane protein YaiY
SRR4176676_00054	gene	yaiY		
SRR4176676_00055	CDS			hypothetical protein
SRR4176676_00055	gene			
SRR4176676_00056	CDS	ddlA	6.3.2.4	D-alanine--D-alanine ligase A
SRR4176676_00056	gene	ddlA		
SRR4176676_00057	CDS			hypothetical protein
SRR4176676_00057	gene			
SRR4176676_00058	CDS	tetA_1		Tetracycline resistance protein, class B
SRR4176676_00058	gene	tetA_1		
SRR4176676_00059	CDS	iraP		Anti-adapter protein IraP
SRR4176676_00059	gene	iraP		
SRR4176676_00060	CDS	psiF		Phosphate starvation-inducible protein PsiF
SRR4176676_00060	gene	psiF		
SRR4176676_00061	CDS	adrA	2.7.7.65	putative diguanylate cyclase AdrA
SRR4176676_00061	gene	adrA		
SRR4176676_00062	CDS	proC	1.5.1.2	Pyrroline-5-carboxylate reductase
SRR4176676_00062	gene	proC		
SRR4176676_00063	CDS			hypothetical protein
SRR4176676_00063	gene			
SRR4176676_00064	CDS	aroL	2.7.1.71	Shikimate kinase 2
SRR4176676_00064	gene	aroL		
SRR4176676_00065	CDS			hypothetical protein
SRR4176676_00065	gene			
SRR4176676_00066	CDS			hypothetical protein
SRR4176676_00066	gene			
SRR4176676_00067	CDS			hypothetical protein
SRR4176676_00067	gene			
SRR4176676_00068	CDS	rdgC		Recombination-associated protein RdgC
SRR4176676_00068	gene	rdgC		
SRR4176676_00069	CDS	mak	2.7.1.4	Fructokinase
SRR4176676_00069	gene	mak		
SRR4176676_00070	CDS	ydhP_1		Inner membrane transport protein YdhP
SRR4176676_00070	gene	ydhP_1		
SRR4176676_00071	CDS	sbcC		Nuclease SbcCD subunit C
SRR4176676_00071	gene	sbcC		
SRR4176676_00072	CDS	sbcD		Nuclease SbcCD subunit D
SRR4176676_00072	gene	sbcD		
SRR4176676_00073	CDS	phoB		Phosphate regulon transcriptional regulatory protein PhoB
SRR4176676_00073	gene	phoB		
SRR4176676_00074	CDS	phoR	2.7.13.3	Phosphate regulon sensor protein PhoR
SRR4176676_00074	gene	phoR		
SRR4176676_00075	CDS	brnQ		Branched-chain amino acid transport system 2 carrier protein
SRR4176676_00075	gene	brnQ		
SRR4176676_00076	CDS	proY		Proline-specific permease ProY
SRR4176676_00076	gene	proY		
SRR4176676_00077	CDS	malZ	3.2.1.20	Maltodextrin glucosidase
SRR4176676_00077	gene	malZ		
SRR4176676_00078	CDS	tsaA	1.11.1.15	putative peroxiredoxin
SRR4176676_00078	gene	tsaA		
SRR4176676_00079	CDS	acpH	3.1.4.14	Acyl carrier protein phosphodiesterase
SRR4176676_00079	gene	acpH		
SRR4176676_00080	CDS	queA_1	2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
SRR4176676_00080	gene	queA_1		
SRR4176676_00081	CDS	tgt	2.4.2.29	Queuine tRNA-ribosyltransferase
SRR4176676_00081	gene	tgt		
SRR4176676_00082	CDS			hypothetical protein
SRR4176676_00082	gene			
SRR4176676_00083	CDS	mzrA_1		Modulator protein MzrA
SRR4176676_00083	gene	mzrA_1		
SRR4176676_00084	CDS			hypothetical protein
SRR4176676_00084	gene			
SRR4176676_00085	CDS			hypothetical protein
SRR4176676_00085	gene			
SRR4176676_00086	CDS			hypothetical protein
SRR4176676_00086	gene			
SRR4176676_00087	CDS			hypothetical protein
SRR4176676_00087	gene			
SRR4176676_00088	CDS	ldrD_1		Small toxic polypeptide LdrD
SRR4176676_00088	gene	ldrD_1		
SRR4176676_00089	CDS	tsx		Nucleoside-specific channel-forming protein tsx
SRR4176676_00089	gene	tsx		
SRR4176676_00090	CDS	yajI		putative lipoprotein YajI
SRR4176676_00090	gene	yajI		
SRR4176676_00091	CDS	nrdR		Transcriptional repressor NrdR
SRR4176676_00091	gene	nrdR		
SRR4176676_00092	CDS	ribD		Riboflavin biosynthesis protein RibD
SRR4176676_00092	gene	ribD		
SRR4176676_00093	CDS	ribH	2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
SRR4176676_00093	gene	ribH		
SRR4176676_00094	CDS	nusB		N utilization substance protein B
SRR4176676_00094	gene	nusB		
SRR4176676_00095	CDS	thiL	2.7.4.16	Thiamine-monophosphate kinase
SRR4176676_00095	gene	thiL		
SRR4176676_00096	CDS	pgpA	3.1.3.27	Phosphatidylglycerophosphatase A
SRR4176676_00096	gene	pgpA		
SRR4176676_00097	CDS	gpr_1	1.1.1.-	L-glyceraldehyde 3-phosphate reductase
SRR4176676_00097	gene	gpr_1		
SRR4176676_00098	CDS	dxs_1	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
SRR4176676_00098	gene	dxs_1		
SRR4176676_00099	CDS	ispA	2.5.1.10	Farnesyl diphosphate synthase
SRR4176676_00099	gene	ispA		
SRR4176676_00100	CDS	xseB	3.1.11.6	Exodeoxyribonuclease 7 small subunit
SRR4176676_00100	gene	xseB		
SRR4176676_00101	CDS	thiI	2.8.1.4	tRNA sulfurtransferase
SRR4176676_00101	gene	thiI		
SRR4176676_00102	CDS	phnV		Putative 2-aminoethylphosphonate transport system permease protein PhnV
SRR4176676_00102	gene	phnV		
SRR4176676_00103	CDS	phnU		Putative 2-aminoethylphosphonate transport system permease protein PhnU
SRR4176676_00103	gene	phnU		
SRR4176676_00104	CDS	phnT		Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
SRR4176676_00104	gene	phnT		
SRR4176676_00105	CDS	phnS		Putative 2-aminoethylphosphonate-binding periplasmic protein
SRR4176676_00105	gene	phnS		
SRR4176676_00106	CDS	phnR		Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
SRR4176676_00106	gene	phnR		
SRR4176676_00107	CDS	phnW	2.6.1.37	2-aminoethylphosphonate--pyruvate transaminase
SRR4176676_00107	gene	phnW		
SRR4176676_00108	CDS	phnX	3.11.1.1	Phosphonoacetaldehyde hydrolase
SRR4176676_00108	gene	phnX		
SRR4176676_00109	CDS			hypothetical protein
SRR4176676_00109	gene			
SRR4176676_00110	CDS	panE_1	1.1.1.169	2-dehydropantoate 2-reductase
SRR4176676_00110	gene	panE_1		
SRR4176676_00111	CDS			hypothetical protein
SRR4176676_00111	gene			
SRR4176676_00112	CDS	yajR		Inner membrane transport protein YajR
SRR4176676_00112	gene	yajR		
SRR4176676_00113	CDS	esiB_1		Secretory immunoglobulin A-binding protein EsiB
SRR4176676_00113	gene	esiB_1		
SRR4176676_00114	CDS	hcpC	3.5.2.6	Putative beta-lactamase HcpC
SRR4176676_00114	gene	hcpC		
SRR4176676_00115	CDS	cyoE	2.5.1.-	Protoheme IX farnesyltransferase
SRR4176676_00115	gene	cyoE		
SRR4176676_00116	CDS	cyoD		Cytochrome bo(3) ubiquinol oxidase subunit 4
SRR4176676_00116	gene	cyoD		
SRR4176676_00117	CDS	cyoC		Cytochrome bo(3) ubiquinol oxidase subunit 3
SRR4176676_00117	gene	cyoC		
SRR4176676_00118	CDS	cyoB	1.10.3.10	Cytochrome bo(3) ubiquinol oxidase subunit 1
SRR4176676_00118	gene	cyoB		
SRR4176676_00119	CDS	cyoA		Cytochrome bo(3) ubiquinol oxidase subunit 2
SRR4176676_00119	gene	cyoA		
SRR4176676_00120	CDS			hypothetical protein
SRR4176676_00120	gene			
SRR4176676_00121	CDS			hypothetical protein
SRR4176676_00121	gene			
SRR4176676_00122	CDS	bolA		DNA-binding transcriptional regulator BolA
SRR4176676_00122	gene	bolA		
SRR4176676_00123	CDS	tig	5.2.1.8	Trigger factor
SRR4176676_00123	gene	tig		
SRR4176676_00124	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
SRR4176676_00124	gene	clpP		
SRR4176676_00125	CDS	clpX		ATP-dependent Clp protease ATP-binding subunit ClpX
SRR4176676_00125	gene	clpX		
SRR4176676_00126	CDS	lon_1	3.4.21.53	Lon protease
SRR4176676_00126	gene	lon_1		
SRR4176676_00127	CDS	hupB_1		DNA-binding protein HU-beta
SRR4176676_00127	gene	hupB_1		
SRR4176676_00128	CDS	ppiD	5.2.1.8	Peptidyl-prolyl cis-trans isomerase D
SRR4176676_00128	gene	ppiD		
SRR4176676_00129	CDS	comEA		ComE operon protein 1
SRR4176676_00129	gene	comEA		
SRR4176676_00130	CDS	fadM	3.1.2.-	Long-chain acyl-CoA thioesterase FadM
SRR4176676_00130	gene	fadM		
SRR4176676_00131	CDS	queC	6.3.4.20	7-cyano-7-deazaguanine synthase
SRR4176676_00131	gene	queC		
SRR4176676_00132	CDS	sgrR_1		HTH-type transcriptional regulator SgrR
SRR4176676_00132	gene	sgrR_1		
SRR4176676_00133	CDS	cof	3.6.1.-	HMP-PP phosphatase
SRR4176676_00133	gene	cof		
